Позиция в рейтинге (май 2025),Название базы данных,Тип базы данных,Очки (май 2025),Изменение очков (месяц),Изменение очков (год),Прогноз изменения очков (июнь 2025)
1,Oracle,Relational,1226.57,-4.49,-9.72,-9.88
2,MySQL,Relational,964.98,-22.12,-118.76,-13.26
3,Microsoft SQL Server,Relational,774.89,-10.12,-49.41,-10.12
4,PostgreSQL,Relational,674.32,+7.07,+28.77,+2.29
5,MongoDB,Document,402.51,+2.46,-19.14,+2.78
6,Snowflake,Relational,172.01,+3.92,+50.67,+3.67
7,Redis,Key-value,152.19,-1.92,-5.61,-1.82
8,IBM Db2,Relational,126.40,+0.36,-2.06,-0.01
9,Elasticsearch,Multi-modelSearch engineVector DBMSDocument storeSpatial DBMS,123.81,-4.27,-11.54,-3.01
10,SQLite,Relational,117.77,+3.68,+3.45,+3.18
11,Apache Cassandra,Wide column,108.05,-0.15,+6.16,-0.14
12,Databricks,Multi-modelDocument storeRelational DBMS,102.66,+3.37,+24.05,+3.63
13,Microsoft Access,Relational,95.91,+0.54,-9.01,+0.50
14,MariaDB,Relational,93.61,-0.73,+0.40,-0.84
15,Amazon DynamoDB,Multi-modelDocument storeKey-value store,79.30,+2.81,+5.23,+3.10
16,Apache Hive,Relational,75.77,+3.11,+14.59,+3.21
17,Microsoft Azure SQL Database,Relational,75.45,+0.08,-2.54,+0.08
18,Splunk,Search engine,71.39,-1.99,-15.06,-1.59
19,Google BigQuery,Relational,62.88,+2.15,+2.50,+2.73
20,Neo4j,Graph,47.91,+0.32,+3.45,+0.37
21,FileMaker,Relational,35.55,-0.93,-12.65,-0.94
22,Teradata,Relational,33.87,-0.21,-11.45,-0.24
23,Apache Solr,Search engine,32.79,+0.39,-10.12,+0.43
24,SAP HANA,Relational,32.01,-1.39,-12.69,-1.39
25,SAP Adaptive Server,Relational,28.65,-0.14,-7.65,-0.16
26,Microsoft Azure Cosmos DB,Multi-modelDocument storeGraph DBMSKey-value storeWide column storeSpatial DBMS,22.94,+0.39,-6.10,+0.42
27,Apache HBase,Wide column,22.62,+0.51,-7.88,+0.51
28,InfluxDB,Time Series,21.78,+0.24,-4.05,+0.26
29,Apache Spark (SQL),Relational,21.62,+1.22,+2.66,+0.99
30,PostGIS,Spatial,18.94,-0.67,-3.75,-0.78
31,ClickHouse,Relational,18.77,+0.04,+2.42,+0.04
32,OpenSearch,Multi-modelSearch engineVector DBMSVector DBMS,17.38,+0.18,+1.02,+0.20
33,Firebird,Relational,16.66,-0.08,-4.16,-0.08
34,Memcached,Key-value,15.47,+0.49,-3.95,+0.50
35,Informix,Relational,14.75,-0.32,-3.11,-0.29
36,Amazon Redshift,Relational,14.70,+0.55,-3.24,+0.51
37,Microsoft Azure Synapse Analytics,Relational,14.22,-0.14,-6.33,-0.16
38,Couchbase,Multi-modelDocument storeVector DBMSKey-value storeSpatial DBMSSearch engineTime Series DBMSVector DBMSWide column store,13.82,-0.23,-3.48,-0.24
39,Firebase Realtime Database,Document,13.43,+0.27,-0.87,+0.27
40,Apache Flink,Relational,12.24,+0.83,+0.22,+0.50
41,Apache Impala,Relational,11.68,+0.46,-2.09,+0.50
42,Vertica,Relational,9.78,-0.07,-0.90,-0.07
43,Google Cloud Firestore,Document,7.51,+0.18,-0.34,+0.20
44,DuckDB,Relational,7.44,+0.06,+2.87,+0.06
45,H2,Relational,7.26,+0.07,-0.87,+0.07
46,Amazon Aurora,Relational,7.25,-0.07,-0.66,-0.07
47,etcd,Key-value,7.14,+0.09,-0.11,+0.09
48,Greenplum,Relational,7.08,-0.42,-1.29,-0.40
49,dBASE,Relational,7.01,-0.28,-3.33,-0.27
50,Netezza,Relational,7.01,+0.46,-2.05,+0.50
